SAMPLE	POP
HGDP01405	Africa
HGDP01406	Africa
HGDP01408	Africa
HGDP01411	Africa
HGDP01412	Africa
HGDP01413	Africa
HGDP01414	Africa
HGDP01415	Africa
HGDP01416	Africa
HGDP01417	Africa
HGDP01418	Africa
HGDP01419	Africa
HGDP00993	Africa
HGDP00994	Africa
HGDP01030	Africa
HGDP01034	Africa
HGDP01033	Africa
HGDP01028	Africa
HGDP01035	Africa
HGDP01031	Africa
HGDP00448	Africa
HGDP00451	Africa
HGDP00452	Africa
HGDP00453	Africa
HGDP00454	Africa
HGDP00455	Africa
HGDP00457	Africa
HGDP00458	Africa
HGDP00459	Africa
HGDP00460	Africa
HGDP00461	Africa
HGDP00464	Africa
HGDP00465	Africa
HGDP00466	Africa
HGDP00469	Africa
HGDP00470	Africa
HGDP00472	Africa
HGDP00473	Africa
HGDP00475	Africa
HGDP00477	Africa
HGDP00479	Africa
HGDP00980	Africa
HGDP00981	Africa
HGDP00985	Africa
HGDP00986	Africa
HGDP01084	Africa
HGDP01085	Africa
HGDP01086	Africa
HGDP01087	Africa
HGDP01088	Africa
HGDP01089	Africa
HGDP01090	Africa
HGDP01091	Africa
HGDP01092	Africa
HGDP01093	Africa
HGDP01094	Africa
HGDP00904	Africa
HGDP00905	Africa
HGDP00906	Africa
HGDP00907	Africa
HGDP00908	Africa
HGDP00909	Africa
HGDP00910	Africa
HGDP00911	Africa
HGDP00912	Africa
HGDP00913	Africa
HGDP00914	Africa
HGDP00915	Africa
HGDP00916	Africa
HGDP00917	Africa
HGDP00918	Africa
HGDP00919	Africa
HGDP01199	Africa
HGDP01200	Africa
HGDP01201	Africa
HGDP01202	Africa
HGDP01283	Africa
HGDP01284	Africa
HGDP01285	Africa
HGDP01286	Africa
HGDP00449	Africa
HGDP00450	Africa
HGDP00456	Africa
HGDP00462	Africa
HGDP00463	Africa
HGDP00467	Africa
HGDP00468	Africa
HGDP00471	Africa
HGDP00474	Africa
HGDP00476	Africa
HGDP00478	Africa
HGDP00982	Africa
HGDP00983	Africa
HGDP00984	Africa
HGDP01081	Africa
HGDP00987	Africa
HGDP00988	Africa
HGDP00991	Africa
HGDP00992	Africa
HGDP01029	Africa
HGDP01032	Africa
HGDP01036	Africa
HGDP00920	Africa
HGDP00921	Africa
HGDP00922	Africa
HGDP00923	Africa
HGDP00924	Africa
HGDP00925	Africa
HGDP00926	Africa
HGDP00927	Africa
HGDP00928	Africa
HGDP00929	Africa
HGDP00930	Africa
HGDP00931	Africa
HGDP00932	Africa
HGDP00933	Africa
HGDP00934	Africa
HGDP00935	Africa
HGDP00936	Africa
HGDP00937	Africa
HGDP00938	Africa
HGDP00939	Africa
HGDP00940	Africa
HGDP00941	Africa
HGDP00942	Africa
HGDP00943	Africa
HGDP00944	Africa
HGDP00702	America
HGDP00703	America
HGDP00704	America
HGDP00705	America
HGDP00706	America
HGDP00707	America
HGDP00708	America
HGDP00709	America
HGDP00710	America
HGDP00792	America
HGDP00793	America
HGDP00827	America
HGDP00970	America
HGDP00995	America
HGDP00996	America
HGDP00997	America
HGDP00998	America
HGDP00999	America
HGDP01000	America
HGDP01001	America
HGDP01003	America
HGDP01004	America
HGDP01005	America
HGDP01006	America
HGDP01007	America
HGDP01008	America
HGDP01009	America
HGDP01010	America
HGDP01011	America
HGDP01012	America
HGDP01013	America
HGDP01014	America
HGDP01015	America
HGDP01016	America
HGDP01017	America
HGDP01018	America
HGDP01019	America
HGDP00854	America
HGDP00855	America
HGDP00856	America
HGDP00857	America
HGDP00858	America
HGDP00859	America
HGDP00860	America
HGDP00861	America
HGDP00862	America
HGDP00863	America
HGDP00864	America
HGDP00865	America
HGDP00866	America
HGDP00867	America
HGDP00868	America
HGDP00869	America
HGDP00870	America
HGDP00871	America
HGDP00872	America
HGDP00873	America
HGDP00874	America
HGDP00875	America
HGDP00876	America
HGDP00877	America
HGDP00878	America
HGDP01037	America
HGDP01038	America
